Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Gender,Region,Target_Age,Impressions,Clicks,Conversions,CTR,CPC,Conversion_Rate
CAMP_0024,97050,66,Instagram,Video,All,Canada,18-24,1067550,24851,1739,2.33,3.91,7.0
CAMP_0025,23323,82,Facebook,Image,All,India,25-34,349845,14436,1106,4.13,1.62,7.66
CAMP_0026,23019,20,Instagram,Video,Female,France,18-24,782646,21508,2091,2.75,1.07,9.72
CAMP_0027,80426,24,TikTok,Image,All,France,18-24,2412780,84712,8187,3.51,0.95,9.66
CAMP_0028,45863,79,Instagram,Story,All,France,25-34,1146575,41160,1183,3.59,1.11,2.87
CAMP_0029,15283,29,Facebook,Story,Male,Australia,25-34,611320,26745,3426,4.37,0.57,12.81
CAMP_0030,23279,80,TikTok,Story,Male,Canada,18-24,535417,12312,530,2.3,1.89,4.3
CAMP_0031,51999,89,Facebook,Video,All,UK,55+,2495952,93577,10667,3.75,0.56,11.4
CAMP_0032,67780,53,TikTok,Text,All,UK,25-34,2507860,121542,14639,4.85,0.56,12.04
CAMP_0033,27908,75,TikTok,Image,Male,Canada,35-44,1144228,44864,5066,3.92,0.62,11.29
CAMP_0034,66584,53,Facebook,Story,All,Canada,45-54,2463608,72910,6945,2.96,0.91,9.53
CAMP_0035,55225,36,Facebook,Image,Female,Australia,18-24,994050,35019,766,3.52,1.58,2.19
CAMP_0036,42952,31,TikTok,Video,Female,UK,18-24,1331512,52710,3523,3.96,0.81,6.68
CAMP_0037,42663,34,TikTok,Text,Female,Canada,45-54,1749183,60331,5950,3.45,0.71,9.86
CAMP_0038,66381,31,Facebook,Video,All,Canada,55+,929334,9913,697,1.07,6.7,7.03
CAMP_0039,52929,80,Instagram,Image,Male,Japan,45-54,1693728,30133,3985,1.78,1.76,13.22
CAMP_0040,14343,84,Facebook,Text,All,Australia,25-34,200802,8517,512,4.24,1.68,6.01
CAMP_0041,81173,64,TikTok,Text,All,Australia,45-54,3328093,69577,4046,2.09,1.17,5.82
CAMP_0042,44791,47,Facebook,Video,Male,India,18-24,851029,33413,1823,3.93,1.34,5.46
CAMP_0043,34134,31,Instagram,Story,Male,Australia,45-54,1638432,40772,2579,2.49,0.84,6.33
CAMP_0044,52101,84,Facebook,Image,Male,US,35-44,1250424,38607,3569,3.09,1.35,9.24
CAMP_0045,74443,54,TikTok,Carousel,Female,UK,25-34,1191088,15149,1695,1.27,4.91,11.19
CAMP_0046,62530,16,Facebook,Carousel,All,India,45-54,2376140,40986,4350,1.72,1.53,10.61
CAMP_0047,51799,81,TikTok,Video,Male,US,18-24,621588,30015,3751,4.83,1.73,12.5
CAMP_0048,9827,17,TikTok,Image,All,Canada,25-34,275156,12548,1696,4.56,0.78,13.52
CAMP_0049,67653,27,Facebook,Image,Female,Japan,18-24,1285407,46391,5849,3.61,1.46,12.61
CAMP_0050,18699,51,TikTok,Video,Female,Japan,55+,691863,19639,441,2.84,0.95,2.25
CAMP_0051,96419,13,TikTok,Image,Male,Canada,35-44,3663922,135676,15693,3.7,0.71,11.57
CAMP_0052,10313,87,Instagram,Story,Male,India,55+,247512,8599,404,3.47,1.2,4.7
CAMP_0053,18598,70,Instagram,Video,All,Australia,35-44,818312,26793,998,3.27,0.69,3.72
CAMP_0054,33807,70,Instagram,Story,Male,France,45-54,507105,6271,645,1.24,5.39,10.29
CAMP_0055,75423,8,Instagram,Image,All,Japan,25-34,1583883,55930,3443,3.53,1.35,6.16
CAMP_0056,74390,82,TikTok,Video,Male,France,45-54,3496330,142499,3908,4.08,0.52,2.74
CAMP_0057,50226,48,Facebook,Image,All,Canada,35-44,1104972,54987,2083,4.98,0.91,3.79
CAMP_0058,64550,88,TikTok,Video,All,France,35-44,2452900,25615,515,1.04,2.52,2.01
CAMP_0059,85072,60,TikTok,Image,All,Germany,35-44,2382016,93391,12833,3.92,0.91,13.74
CAMP_0060,8558,81,TikTok,Story,All,India,18-24,102696,3375,78,3.29,2.54,2.31
CAMP_0061,80308,22,Facebook,Story,Female,US,25-34,1365236,37355,1764,2.74,2.15,4.72
CAMP_0062,55113,24,Instagram,Image,All,India,45-54,936921,14150,1048,1.51,3.89,7.41
CAMP_0063,57999,65,TikTok,Video,Male,UK,45-54,1681971,44342,2942,2.64,1.31,6.63
CAMP_0064,60878,22,TikTok,Carousel,Female,Australia,55+,791414,19132,2650,2.42,3.18,13.85
CAMP_0065,41343,12,Instagram,Story,Female,Australia,35-44,1240290,27426,692,2.21,1.51,2.52
CAMP_0066,63219,63,TikTok,Story,All,India,35-44,758628,29764,2577,3.92,2.12,8.66
CAMP_0067,40186,53,Facebook,Carousel,Female,Canada,35-44,683162,25979,2817,3.8,1.55,10.84
CAMP_0068,41966,54,TikTok,Image,All,Canada,45-54,1342912,45069,6360,3.36,0.93,14.11
CAMP_0069,38769,48,TikTok,Video,Male,Germany,55+,969225,46083,4638,4.75,0.84,10.06
CAMP_0070,58218,82,Instagram,Image,All,Germany,18-24,1280796,30731,3825,2.4,1.89,12.45
CAMP_0071,24229,66,TikTok,Text,Female,Australia,25-34,290748,5742,177,1.97,4.22,3.08
CAMP_0072,80209,83,TikTok,Story,Male,Germany,18-24,1443762,52316,3671,3.62,1.53,7.02
CAMP_0073,32877,10,Facebook,Text,All,Japan,45-54,756171,13575,931,1.8,2.42,6.86
CAMP_0074,63001,8,Instagram,Story,Male,Japan,35-44,1386022,31324,4235,2.26,2.01,13.52
CAMP_0075,43084,65,Instagram,Story,Male,US,25-34,689344,13086,519,1.9,3.29,3.97
CAMP_0076,86780,33,Facebook,Text,Female,Germany,45-54,2082720,26588,1056,1.28,3.26,3.97
CAMP_0077,97892,33,TikTok,Text,Male,US,45-54,1566272,67506,4233,4.31,1.45,6.27
CAMP_0078,21806,85,Instagram,Image,Female,Germany,45-54,1024882,20683,560,2.02,1.05,2.71
CAMP_0079,93635,78,Instagram,Text,Male,Australia,25-34,4026305,116445,5090,2.89,0.8,4.37
CAMP_0080,42034,13,TikTok,Image,All,Australia,25-34,1303054,15288,2224,1.17,2.75,14.55
CAMP_0081,45317,69,TikTok,Image,Male,US,55+,1495461,56788,4296,3.8,0.8,7.56
CAMP_0082,60468,52,Instagram,Image,All,India,55+,2781528,64593,6598,2.32,0.94,10.21
CAMP_0083,24094,69,TikTok,Story,All,Australia,18-24,240940,9586,1096,3.98,2.51,11.43
CAMP_0084,62796,18,Instagram,Story,Male,India,25-34,1193124,31613,2140,2.65,1.99,6.77
CAMP_0085,15589,19,TikTok,Text,All,Canada,25-34,389725,6948,271,1.78,2.24,3.9
CAMP_0086,62221,49,TikTok,Story,Male,Japan,25-34,1057757,32290,1512,3.05,1.93,4.68
CAMP_0087,6657,23,Facebook,Text,Male,US,55+,226338,3444,209,1.52,1.93,6.07
CAMP_0088,44531,69,TikTok,Story,All,France,45-54,935151,25830,2652,2.76,1.72,10.27
CAMP_0089,57227,87,Facebook,Video,All,Australia,35-44,1945718,44152,3169,2.27,1.3,7.18
CAMP_0090,8164,42,TikTok,Video,Female,UK,55+,212264,9865,206,4.65,0.83,2.09
CAMP_0091,98078,14,Instagram,Text,All,Canada,25-34,3432730,42693,3758,1.24,2.3,8.8
CAMP_0092,88973,75,Instagram,Story,Female,India,55+,2046379,77272,10802,3.78,1.15,13.98
CAMP_0093,46247,86,TikTok,Story,All,Australia,18-24,2081115,36024,4523,1.73,1.28,12.56
CAMP_0094,24601,42,TikTok,Image,Male,US,25-34,787232,17918,2280,2.28,1.37,12.72
CAMP_0095,98966,34,Instagram,Carousel,All,France,18-24,1484490,39517,4874,2.66,2.5,12.33
CAMP_0096,55599,53,TikTok,Text,Male,Germany,25-34,778386,36055,2238,4.63,1.54,6.21
CAMP_0097,76545,82,Facebook,Carousel,Male,France,55+,2602530,51277,6126,1.97,1.49,11.95
CAMP_0098,9552,36,Facebook,Carousel,Male,UK,45-54,257904,3520,135,1.36,2.71,3.84
CAMP_0099,14417,29,Facebook,Text,Female,India,35-44,317174,7214,761,2.27,2.0,10.55
CAMP_0100,63579,22,Facebook,Story,All,Canada,18-24,1462317,20745,2145,1.42,3.06,10.34
