Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-0LVSNU,36277,33,YouTube,Image,45-54,Male,UK,1069,137,1.95,33.94,12.82,0
CAMP-JZA7TZ,40828,49,YouTube,Video,18-24,Female,UK,2371,122,2.99,17.22,5.15,0
CAMP-0YNCXL,39254,56,Facebook,Video,35-44,Female,UK,6364,519,4.61,6.17,8.16,1
CAMP-L4ZKLO,24876,42,Facebook,Image,25-34,All,Germany,2894,313,3.42,8.6,10.82,1
CAMP-OKEP7Y,4995,20,YouTube,Video,35-44,Male,Canada,215,13,2.02,23.23,6.05,0
CAMP-6WKTAK,13621,38,LinkedIn,Text,18-24,All,India,130,9,0.66,104.78,6.92,0
CAMP-PUXQPH,23177,28,LinkedIn,Text,18-24,Female,Germany,183,9,0.67,126.65,4.92,0
CAMP-R62GDS,15838,43,Instagram,Video,55+,All,UK,1463,58,3.96,10.83,3.96,0
CAMP-WM31YI,49656,45,Google,Image,18-24,Female,Germany,938,79,0.73,52.94,8.42,0
CAMP-HAIR4C,4642,41,LinkedIn,Video,35-44,All,US,261,38,3.76,17.79,14.56,1
CAMP-OWGZRI,17519,48,Facebook,Video,45-54,All,UK,1832,87,4.08,9.56,4.75,0
CAMP-XA11DP,28751,32,LinkedIn,Video,45-54,Male,US,1363,173,4.83,21.09,12.69,1
CAMP-G8SBI4,24444,18,Instagram,Carousel,55+,All,UK,679,21,1.28,36.0,3.09,0
CAMP-Q2Y9V8,46675,54,Instagram,Text,35-44,Male,Germany,4076,404,4.71,11.45,9.91,1
CAMP-6WZS3T,14000,45,Google,Story,35-44,Male,Canada,1302,146,2.46,10.75,11.21,0
CAMP-60RJIW,8630,18,LinkedIn,Story,18-24,Male,India,150,4,1.21,57.53,2.67,0
CAMP-1SWJCK,28432,20,Facebook,Carousel,35-44,Male,US,567,30,0.92,50.14,5.29,0
CAMP-JLTEIY,13745,58,Facebook,Video,25-34,All,Germany,183,21,0.58,75.11,11.48,0
CAMP-ZCOTOH,29722,42,YouTube,Carousel,18-24,Female,Canada,1007,66,2.45,29.52,6.55,0
CAMP-P6VZ41,23549,11,Facebook,Carousel,25-34,Female,Germany,1400,16,1.67,16.82,1.14,0
CAMP-NAM148,45190,38,Google,Image,55+,Female,US,6572,215,3.46,6.88,3.27,0
CAMP-P0TVHH,39146,8,Google,Text,45-54,All,India,3014,426,3.14,12.99,14.13,1
CAMP-PBMYOF,18571,18,Facebook,Story,55+,Male,Germany,1689,125,3.39,11.0,7.4,0
CAMP-QEWAOU,36006,49,Facebook,Video,45-54,Female,UK,2938,424,2.24,12.26,14.43,0
CAMP-AXEQBN,4413,49,YouTube,Story,55+,All,Canada,50,1,0.81,88.26,2.0,0
CAMP-HL1N13,12661,57,Facebook,Story,35-44,Male,Germany,786,80,2.01,16.11,10.18,0
CAMP-JCAT9M,23632,32,YouTube,Text,25-34,Female,Canada,920,42,2.03,25.69,4.57,0
CAMP-X2X18H,20858,10,YouTube,Story,45-54,Male,UK,831,117,2.07,25.1,14.08,0
CAMP-AFEYUH,8043,42,Facebook,Story,18-24,Female,India,1066,92,4.85,7.55,8.63,1
CAMP-Z1GV0E,39256,15,Instagram,Carousel,25-34,Female,India,2907,326,3.09,13.5,11.21,1
CAMP-38DALY,18455,24,Instagram,Text,18-24,Female,UK,1120,147,3.11,16.48,13.12,1
CAMP-8OZCYW,32979,43,YouTube,Image,25-34,Male,Canada,1702,193,3.56,19.38,11.34,1
CAMP-D14VE9,3414,47,Facebook,Video,25-34,All,Germany,263,20,2.9,12.98,7.6,0
CAMP-2MPNSM,1228,28,Instagram,Story,55+,Male,UK,23,0,0.93,53.39,0.0,0
CAMP-43D8W3,7900,25,Facebook,Video,45-54,Female,US,330,47,1.93,23.94,14.24,0
CAMP-ZP08J3,32807,25,Facebook,Image,45-54,Male,Canada,821,18,0.87,39.96,2.19,0
CAMP-TRP0J4,37759,31,Facebook,Video,25-34,All,India,1633,232,1.46,23.12,14.21,0
CAMP-3D5IQV,1667,45,LinkedIn,Image,35-44,Male,UK,47,0,2.72,35.47,0.0,0
CAMP-NB4GH2,37997,11,Facebook,Carousel,35-44,All,India,3695,402,2.96,10.28,10.88,0
CAMP-M5ZJA8,38114,18,LinkedIn,Story,18-24,All,Canada,2500,328,4.26,15.25,13.12,1
CAMP-DZR1YX,44761,13,YouTube,Image,18-24,Male,India,1107,72,1.5,40.43,6.5,0
CAMP-R2DHYL,23822,8,Instagram,Video,55+,Female,UK,360,53,0.88,66.17,14.72,0
CAMP-URTP0L,14307,51,Instagram,Story,25-34,All,Canada,1260,179,4.16,11.35,14.21,1
CAMP-ZJJEGE,37580,51,Instagram,Carousel,18-24,Male,US,2187,47,2.19,17.18,2.15,0
CAMP-T1GHR0,7088,50,Instagram,Story,18-24,All,UK,406,55,2.41,17.46,13.55,0
CAMP-9SKDGI,29210,9,Instagram,Image,25-34,Female,Germany,1326,119,2.32,22.03,8.97,0
CAMP-GATJ9T,30855,34,Instagram,Carousel,55+,Male,UK,3467,395,4.2,8.9,11.39,1
CAMP-ZE5R5U,39798,19,Instagram,Video,18-24,Male,Canada,1769,136,2.3,22.5,7.69,0
CAMP-QPGB7R,24460,39,YouTube,Carousel,55+,Male,UK,1696,19,4.83,14.42,1.12,0
CAMP-3OCWBF,23200,53,Facebook,Carousel,45-54,Female,US,2373,353,2.87,9.78,14.88,0
CAMP-UK9E1V,22232,42,Google,Text,55+,All,US,3851,320,4.86,5.77,8.31,1
CAMP-2ISQP4,18140,55,LinkedIn,Carousel,35-44,Male,Germany,713,69,2.55,25.44,9.68,0
CAMP-9KWV08,41321,9,Google,Carousel,35-44,All,India,1249,61,0.7,33.08,4.88,0
CAMP-HHXFGC,11475,22,Google,Story,55+,All,Canada,1249,120,2.55,9.19,9.61,0
CAMP-AQVKIZ,30203,34,Facebook,Video,35-44,Female,Canada,2125,89,2.25,14.21,4.19,0
CAMP-ZQY72W,33807,34,Facebook,Story,45-54,Male,India,1484,109,1.67,22.78,7.35,0
CAMP-X7PTX6,40580,15,Facebook,Story,25-34,All,US,4292,454,4.16,9.45,10.58,1
CAMP-3CFL0U,17808,19,Instagram,Image,35-44,Male,US,2151,307,4.2,8.28,14.27,1
CAMP-KEYZ7S,49907,11,YouTube,Story,35-44,Male,UK,2192,308,2.38,22.77,14.05,0
CAMP-RCBPLJ,24293,51,Instagram,Text,55+,Female,Germany,1045,124,2.35,23.25,11.87,0
CAMP-D84U89,35461,38,YouTube,Text,45-54,Male,Germany,1739,199,2.19,20.39,11.44,0
CAMP-YJB1QX,20809,33,YouTube,Image,25-34,Male,Germany,293,4,0.78,71.02,1.37,0
CAMP-6GVWRD,9202,7,Google,Video,55+,All,UK,187,19,0.84,49.21,10.16,0
CAMP-MLY4LY,33106,11,Google,Video,55+,Female,Germany,4461,524,3.0,7.42,11.75,0
CAMP-K83TQL,11416,16,YouTube,Story,45-54,Male,India,385,28,1.61,29.65,7.27,0
CAMP-L8OS9X,39265,7,YouTube,Story,25-34,All,UK,2790,117,3.23,14.07,4.19,0
CAMP-TOGN1W,38244,46,Instagram,Story,45-54,Female,India,1991,51,2.11,19.21,2.56,0
CAMP-1HT7PZ,14989,40,Instagram,Video,25-34,Female,UK,1440,76,4.24,10.41,5.28,0
CAMP-E9VIFT,43444,50,Google,Carousel,45-54,All,Germany,6909,459,4.44,6.29,6.64,0
CAMP-TD96QE,19698,53,Facebook,Text,55+,All,India,2172,216,4.03,9.07,9.94,1
CAMP-3RZSJ4,27198,57,YouTube,Carousel,55+,All,India,1915,282,3.28,14.2,14.73,1
CAMP-9ITN7S,42789,40,Instagram,Carousel,18-24,All,India,3194,72,3.0,13.4,2.25,0
CAMP-55J2O7,10709,58,Google,Video,35-44,All,UK,961,132,2.53,11.14,13.74,0
CAMP-S3KKV9,5137,48,Instagram,Carousel,45-54,Male,Canada,688,21,4.77,7.47,3.05,0
CAMP-RFTMTT,20356,16,YouTube,Image,18-24,Male,Germany,326,5,0.8,62.44,1.53,0
CAMP-QLGZUI,8441,59,YouTube,Story,35-44,Female,India,190,17,1.44,44.43,8.95,0
CAMP-1B0Z3N,45502,57,LinkedIn,Image,45-54,Male,Canada,1650,151,2.57,27.58,9.15,0
CAMP-X39RBS,6590,22,Facebook,Text,25-34,Male,Germany,271,15,1.32,24.32,5.54,0
CAMP-V55PSQ,18771,9,LinkedIn,Story,35-44,Male,Germany,1275,120,4.88,14.72,9.41,1
CAMP-0OXFQ8,11814,25,Google,Carousel,55+,All,India,1000,58,2.05,11.81,5.8,0
CAMP-MYX444,23561,27,Instagram,Text,18-24,Female,India,1620,96,2.9,14.54,5.93,0
CAMP-NLZ15B,28193,40,Google,Story,35-44,Female,UK,1494,82,1.98,18.87,5.49,0
CAMP-CW790P,23821,53,YouTube,Carousel,35-44,Female,Canada,384,50,0.87,62.03,13.02,0
CAMP-DW5PY6,19762,54,LinkedIn,Image,55+,Female,Canada,348,42,1.74,56.79,12.07,0
CAMP-B2KNFT,14678,58,LinkedIn,Story,45-54,Male,India,361,28,2.17,40.66,7.76,0
CAMP-U2GC5W,29199,29,LinkedIn,Carousel,25-34,Male,Germany,1536,28,3.74,19.01,1.82,0
CAMP-I6FQJJ,15534,57,Google,Image,55+,All,India,2742,223,4.53,5.67,8.13,1
CAMP-A26YFP,39138,51,YouTube,Text,25-34,Female,Germany,1729,113,2.09,22.64,6.54,0
CAMP-MVXPJ4,46771,31,Instagram,Text,45-54,Male,Germany,1625,144,1.32,28.78,8.86,0
CAMP-HNRIUU,30426,28,Instagram,Text,35-44,Male,India,650,87,1.04,46.81,13.38,0
CAMP-9K9XJU,44743,31,Google,Text,25-34,All,US,6935,553,4.05,6.45,7.97,0
CAMP-Y0BVR6,27234,42,LinkedIn,Video,18-24,All,Canada,1207,138,3.14,22.56,11.43,1
CAMP-K2VMWW,16228,50,Facebook,Story,18-24,All,Germany,641,38,1.78,25.32,5.93,0
CAMP-YZX4W6,48947,40,Google,Story,55+,Male,Germany,3909,219,2.74,12.52,5.6,0
CAMP-XLPU0D,28524,39,Google,Video,45-54,Male,US,1043,63,1.51,27.35,6.04,0
CAMP-K0GET8,7267,10,YouTube,Carousel,55+,All,UK,136,16,0.89,53.43,11.76,0
CAMP-T63J3R,20619,15,Instagram,Carousel,55+,Female,US,1009,68,2.86,20.44,6.74,0
CAMP-30ME8F,11287,30,Google,Text,55+,All,US,681,99,2.29,16.57,14.54,0
CAMP-840982,22850,12,Google,Image,18-24,All,Germany,2752,306,2.71,8.3,11.12,0
CAMP-N2ATQY,38828,8,LinkedIn,Carousel,18-24,All,Canada,1703,83,3.07,22.8,4.87,0
CAMP-YV37DI,32543,11,LinkedIn,Image,55+,All,US,711,49,1.96,45.77,6.89,0
CAMP-A5U6HC,49876,26,Facebook,Story,18-24,Male,UK,1229,117,1.02,40.58,9.52,0
CAMP-36KOF8,45875,44,YouTube,Image,45-54,Female,India,992,76,1.19,46.24,7.66,0
CAMP-KRD5EQ,47862,39,Facebook,Story,55+,All,US,3222,279,2.54,14.85,8.66,0
CAMP-Y08P0F,10365,50,LinkedIn,Video,18-24,Female,US,419,9,3.58,24.74,2.15,0
CAMP-ODRO8B,1842,43,Instagram,Video,25-34,Female,UK,30,2,1.02,61.4,6.67,0
CAMP-NP84DY,32793,41,LinkedIn,Text,55+,Female,Canada,1924,242,4.68,17.04,12.58,1
CAMP-T9MOGE,735,56,YouTube,Carousel,55+,All,US,37,5,3.79,19.86,13.51,1
CAMP-4QXXVA,19519,41,LinkedIn,Text,45-54,Male,US,760,68,3.83,25.68,8.95,1
CAMP-2IEUC1,6451,35,YouTube,Story,35-44,All,Canada,354,13,4.08,18.22,3.67,0
CAMP-HH5LF6,23825,41,YouTube,Text,35-44,Female,UK,1362,140,4.17,17.49,10.28,1
CAMP-A4FEJG,40845,10,YouTube,Image,45-54,Female,US,1969,207,3.15,20.74,10.51,1
CAMP-XAA2IL,10010,46,YouTube,Story,45-54,Male,Canada,412,21,2.58,24.3,5.1,0
CAMP-GB0S0R,22026,21,YouTube,Video,45-54,All,US,835,54,2.1,26.38,6.47,0
CAMP-2SDS8B,18881,59,Instagram,Carousel,35-44,Female,India,1792,47,3.31,10.54,2.62,0
CAMP-25SQ8C,27702,13,Facebook,Story,45-54,Male,Germany,3289,109,3.62,8.42,3.31,0
CAMP-ROYR6C,6288,39,Google,Story,18-24,Female,India,1001,120,4.52,6.28,11.99,1
CAMP-CVCJWT,11289,39,Facebook,Image,55+,Male,US,1463,43,4.0,7.72,2.94,0
CAMP-L9TQVD,2743,28,YouTube,Carousel,55+,Male,UK,145,16,2.71,18.92,11.03,0
CAMP-Z4X1ZH,46697,44,Instagram,Video,25-34,All,Germany,2420,179,2.2,19.3,7.4,0
CAMP-QIMQOD,41131,21,LinkedIn,Story,25-34,Female,India,787,33,1.17,52.26,4.19,0
CAMP-PXNF7C,36159,51,Instagram,Story,55+,All,Canada,3192,342,3.38,11.33,10.71,1
CAMP-3DD03U,34061,49,YouTube,Image,18-24,Female,UK,2629,379,4.22,12.96,14.42,1
CAMP-VULEMX,44379,44,Instagram,Text,35-44,All,India,2048,103,2.41,21.67,5.03,0
CAMP-15Z8VM,25438,18,Instagram,Video,35-44,Female,Canada,823,19,1.12,30.91,2.31,0
CAMP-UHXID4,15828,53,YouTube,Carousel,18-24,All,US,984,23,3.17,16.09,2.34,0
CAMP-N1U349,15843,10,Instagram,Story,35-44,Male,Canada,258,26,0.6,61.41,10.08,0
CAMP-3WXA73,28132,34,Google,Story,45-54,Female,India,726,15,0.81,38.75,2.07,0
CAMP-JGZLMA,44827,47,Google,Video,55+,Female,India,4923,127,2.53,9.11,2.58,0
CAMP-5UOFWB,36744,32,Instagram,Text,55+,Male,US,1081,150,1.06,33.99,13.88,0
CAMP-0HPMNZ,35122,57,LinkedIn,Story,18-24,All,Canada,1174,20,2.29,29.92,1.7,0
CAMP-1UDBFW,32380,16,YouTube,Video,35-44,Female,Canada,344,19,0.52,94.13,5.52,0
CAMP-YJXRPJ,25650,58,Google,Image,25-34,Female,US,4198,245,4.64,6.11,5.84,0
CAMP-1EPKYR,9166,40,LinkedIn,Text,25-34,All,Canada,498,7,3.14,18.41,1.41,0
CAMP-YBOVAK,13990,30,Instagram,Carousel,35-44,Male,US,419,6,1.24,33.39,1.43,0
CAMP-HEJLA0,46740,55,LinkedIn,Story,25-34,All,UK,1320,53,1.75,35.41,4.02,0
CAMP-GNZS43,16741,27,Facebook,Video,18-24,All,India,2375,176,4.89,7.05,7.41,0
CAMP-C5BA75,37511,28,Google,Image,18-24,All,UK,4823,387,4.99,7.78,8.02,1
CAMP-UUZPEA,10484,38,Instagram,Carousel,35-44,Female,Germany,688,27,3.87,15.24,3.92,0
CAMP-L2W37D,28465,38,YouTube,Video,25-34,Male,Germany,1594,100,3.31,17.86,6.27,0
CAMP-4IVSOL,7811,46,Instagram,Video,18-24,Male,Germany,344,37,1.82,22.71,10.76,0
CAMP-MLGSES,29365,34,YouTube,Carousel,18-24,All,US,1370,160,2.74,21.43,11.68,0
CAMP-6M033I,12842,45,Instagram,Image,45-54,Female,Canada,588,79,1.72,21.84,13.44,0
CAMP-FHV1XG,47690,34,LinkedIn,Image,45-54,All,UK,3495,234,4.4,13.65,6.7,0
CAMP-1R11Q7,45868,9,LinkedIn,Text,18-24,Female,UK,1865,23,3.52,24.59,1.23,0
CAMP-UWW5WF,31980,53,LinkedIn,Story,35-44,Female,UK,2066,181,4.49,15.48,8.76,1
CAMP-CPKJCS,14075,40,Facebook,Carousel,55+,Female,UK,2374,224,4.95,5.93,9.44,1
CAMP-LQC3C5,48417,49,YouTube,Carousel,55+,Female,Germany,5084,151,4.75,9.52,2.97,0
CAMP-4WSQT2,21889,37,LinkedIn,Carousel,18-24,Male,UK,240,23,0.89,91.2,9.58,0
CAMP-6Q3XLR,16532,29,Facebook,Image,18-24,Female,Canada,606,80,1.05,27.28,13.2,0
CAMP-FCD6MZ,31919,24,YouTube,Story,18-24,Female,Germany,2850,164,4.18,11.2,5.75,0
CAMP-SGIPPS,38109,8,Instagram,Text,35-44,All,UK,525,66,0.65,72.59,12.57,0
CAMP-FNKOMV,34072,44,Facebook,Video,45-54,All,US,2437,318,2.13,13.98,13.05,0
CAMP-2XCDYK,44361,50,Google,Video,18-24,Male,India,5268,412,4.41,8.42,7.82,0
CAMP-0X65MU,25057,29,Facebook,Carousel,18-24,All,India,2055,27,2.41,12.19,1.31,0
CAMP-FM8ZOV,3073,15,Facebook,Story,25-34,Female,India,303,13,3.35,10.14,4.29,0
CAMP-7LN23Y,18185,49,YouTube,Image,35-44,All,Germany,327,44,1.09,55.61,13.46,0
CAMP-30YSXP,9496,17,Instagram,Story,18-24,Male,UK,753,93,2.88,12.61,12.35,0
CAMP-NNGH8R,32153,40,Google,Story,25-34,All,Germany,3931,495,3.43,8.18,12.59,1
CAMP-IEC4D1,2122,59,LinkedIn,Image,55+,All,Canada,22,2,1.07,96.45,9.09,0
CAMP-45BM1E,17529,33,LinkedIn,Carousel,18-24,Male,US,820,84,3.2,21.38,10.24,1
CAMP-NF313F,9146,16,Facebook,Story,18-24,Male,US,785,49,2.38,11.65,6.24,0
CAMP-POYIPK,36897,8,YouTube,Video,25-34,Female,India,1938,41,3.82,19.04,2.12,0
CAMP-0QTL3Q,12055,57,YouTube,Image,35-44,All,India,395,19,2.25,30.52,4.81,0
CAMP-4N89QK,24563,42,LinkedIn,Text,18-24,Female,India,705,62,1.84,34.84,8.79,0
CAMP-NS832E,29269,53,Google,Carousel,55+,All,UK,1427,110,1.11,20.51,7.71,0
CAMP-JX5TD4,40983,53,Instagram,Image,18-24,All,Canada,2561,44,3.18,16.0,1.72,0
CAMP-4K1J6F,24558,51,Google,Text,55+,Female,Canada,2211,168,3.3,11.11,7.6,0
CAMP-P8HQMA,35388,15,Instagram,Text,45-54,All,Canada,1745,189,2.36,20.28,10.83,0
CAMP-BSI9NB,18523,48,LinkedIn,Story,45-54,All,Canada,209,4,0.84,88.63,1.91,0
CAMP-74X2EK,21087,50,Instagram,Story,55+,All,India,326,7,0.52,64.68,2.15,0
CAMP-3ZEZQA,26712,50,YouTube,Story,35-44,Male,US,2641,318,4.83,10.11,12.04,1
CAMP-CJ4T0S,36908,55,Facebook,Image,18-24,Female,India,2520,333,2.94,14.65,13.21,0
CAMP-EKKBP2,6395,37,Facebook,Image,18-24,Male,Canada,755,80,3.46,8.47,10.6,1
CAMP-QD6VAS,5819,31,LinkedIn,Carousel,45-54,Female,India,341,36,3.41,17.06,10.56,1
CAMP-IFPWIO,25564,51,YouTube,Story,55+,Female,Canada,339,31,0.7,75.41,9.14,0
CAMP-XD9CSS,41860,29,Google,Text,18-24,All,Germany,3926,211,2.63,10.66,5.37,0
CAMP-9TOQW9,37698,59,YouTube,Video,18-24,Female,US,1013,26,1.37,37.21,2.57,0
CAMP-JA2M0W,42286,29,Facebook,Carousel,35-44,Male,Germany,5525,97,3.85,7.65,1.76,0
CAMP-10LBT3,19926,24,Facebook,Image,25-34,Male,UK,1974,199,3.4,10.09,10.08,1
CAMP-G2QZW3,35935,51,YouTube,Carousel,45-54,Male,India,1672,96,3.63,21.49,5.74,0
CAMP-C1QKBH,21162,29,YouTube,Carousel,45-54,Female,UK,515,44,1.92,41.09,8.54,0
CAMP-B7S9TJ,15817,31,Facebook,Carousel,25-34,Male,India,1478,103,2.84,10.7,6.97,0
CAMP-1GM25L,9823,8,Google,Carousel,18-24,Female,Germany,1063,13,4.41,9.24,1.22,0
CAMP-EN606N,29930,19,LinkedIn,Video,35-44,Male,Canada,1986,241,4.73,15.07,12.13,1
CAMP-9RR7S2,40474,52,LinkedIn,Story,35-44,Male,Canada,2006,132,3.95,20.18,6.58,0
CAMP-0CV3TL,8936,50,YouTube,Text,45-54,Female,India,736,108,4.43,12.14,14.67,1
CAMP-CXLVPY,37629,36,LinkedIn,Carousel,35-44,Male,Canada,1181,133,2.39,31.86,11.26,0
CAMP-MB5M9J,33233,55,Facebook,Carousel,25-34,All,Germany,1527,76,2.09,21.76,4.98,0
CAMP-98CWN2,33413,43,Facebook,Carousel,18-24,Female,Canada,402,59,0.58,83.12,14.68,0
CAMP-Y8FV2B,35900,21,YouTube,Story,25-34,Female,Germany,2048,83,3.56,17.53,4.05,0
CAMP-C2NNUV,43501,43,YouTube,Image,55+,Female,UK,795,54,0.9,54.72,6.79,0
CAMP-Y8N1UT,41470,19,YouTube,Image,45-54,All,Germany,3569,68,3.84,11.62,1.91,0
CAMP-OXIE0R,49488,59,Google,Video,35-44,Female,US,2136,35,1.04,23.17,1.64,0
CAMP-NUJJQ9,17820,55,LinkedIn,Image,55+,Male,US,1325,161,4.21,13.45,12.15,1
CAMP-K6RE4Q,8745,53,YouTube,Carousel,35-44,Male,US,353,33,2.83,24.77,9.35,0
CAMP-6QDY4L,30948,48,Instagram,Carousel,18-24,Male,India,1947,291,2.71,15.9,14.95,0
CAMP-MCT64Z,25078,38,Instagram,Carousel,18-24,Female,India,1862,213,3.3,13.47,11.44,1
CAMP-7W2SEH,37943,20,Facebook,Video,18-24,Male,India,3402,220,2.56,11.15,6.47,0
